step,cfit_pf,cextra_pf,cstray_pf,ccable_pf,rreceiver_ohm,transimpedance_ohm,bandwidth_hz,peaking_db,unity_hz,phase_margin_deg,bandwidth_crossings,unity_crossings,passes
74,0.5,35.0,1.0,0.0,100000.0,99780439.0163183,1061.8259314365519,0.0,1317334.7245137203,89.16787323616052,1,1,True
75,1.0,35.0,1.0,0.0,100000.0,99780404.54925738,796.1145512923237,0.0,1739337.6050116597,88.93802187575318,1,1,False
76,5.0,35.0,1.0,0.0,100000.0,99779774.29384811,265.2665719182855,0.0,4836102.976587381,87.11704728865044,1,1,False
77,0.2,85.0,1.0,0.0,100000.0,99780455.03850095,1329.4854786340256,0.0,536397.4859052586,89.52947194934802,1,1,True
78,0.5,85.0,1.0,0.0,100000.0,99780439.08519684,1062.6543113285131,0.0,668516.7176079667,89.50354503888434,1,1,True
79,1.0,85.0,1.0,0.0,100000.0,99780404.61803855,796.4611565291258,0.0,886896.830349323,89.41536245993814,1,1,False
80,5.0,85.0,1.0,0.0,100000.0,99779774.36184971,265.27928627239845,0.0,2557550.951975834,88.47110741172315,1,1,False
81,0.2,0.0,0.0,100.0,100000.0,99780482.49390353,8063.716168511473,0.0,595100.7774316324,88.61564126147107,1,1,True
82,0.5,0.0,0.0,100.0,100000.0,99780478.35821089,3189.7175829684006,0.0,1456032.4765029028,88.38470161768998,1,1,True
83,1.0,0.0,0.0,100.0,100000.0,99780463.58704193,1592.3530749685606,0.0,2806002.6249842104,87.21325116031346,1,1,True
84,5.0,0.0,0.0,100.0,100000.0,99779990.89541015,318.31107876261785,0.0,10847057.062862623,81.9973927294538,1,1,False
85,0.2,5.0,0.0,100.0,100000.0,99780482.5008167,8099.839122860349,0.0,447901.56052243867,88.51314579039536,1,1,True
86,0.5,5.0,0.0,100.0,100000.0,99780478.36511827,3191.9603222156356,0.0,1101925.8838357192,88.69707128468701,1,1,True
87,1.0,5.0,0.0,100.0,100000.0,99780463.59393956,1592.631427853107,0.0,2144010.0777838365,87.80370466166227,1,1,True
88,5.0,5.0,0.0,100.0,100000.0,99779990.90222986,318.3132798070936,0.0,8729822.320301471,83.19008024553818,1,1,False
89,0.2,15.0,0.0,100.0,100000.0,99780482.51464301,8172.737713608678,0.0,299717.98177282186,88.15911363017176,1,1,True
90,0.5,15.0,0.0,100.0,100000.0,99780478.37893291,3196.457527928289,0.0,741150.0757973607,88.98133654077418,1,1,True
91,1.0,15.0,0.0,100.0,100000.0,99780463.6077347,1593.1884950283122,0.0,1455949.7171249215,88.44527444646212,1,1,True
92,5.0,15.0,0.0,100.0,100000.0,99779990.91586919,318.31768200835035,0.0,6295580.698679973,84.6476127687082,1,1,False
93,0.2,35.0,0.0,100.0,100000.0,99780482.54229565,8322.410981507606,0.0,180463.20555557183,87.27472311613076,1,1,True
94,0.5,35.0,0.0,100.0,100000.0,99780478.40656215,3205.499031255133,0.0,447837.00044490595,89.11777550113806,1,1,True
95,1.0,35.0,0.0,100.0,100000.0,99780463.63532509,1594.304076403191,0.0,886243.9964789329,88.97524311976417,1,1,True
96,5.0,35.0,0.0,100.0,100000.0,99779990.94314787,318.32648686009935,0.0,4051941.488864549,86.20967966113517,1,1,False
97,0.2,85.0,0.0,100.0,100000.0,99780482.6114272,8715.855716058539,1.207878011497587e-10,90697.85806630265,84.88177243573938,1,1,True
98,0.5,85.0,0.0,100.0,100000.0,99780478.47563535,3228.3799119458486,0.0,225130.55594686384,88.93859154924547,1,1,True
99,1.0,85.0,0.0,100.0,100000.0,99780463.70430095,1597.101489445436,0.0,447820.61698292743,89.31937178964279,1,1,True
100,5.0,85.0,0.0,100.0,100000.0,99779991.01134454,318.3485016102334,0.0,2142645.733754062,87.83614616854533,1,1,False
101,0.2,0.0,0.1,100.0,100000.0,99780481.50925687,5336.255877126852,0.0,886300.1899490566,88.73990604761963,1,1,True
102,0.5,0.0,0.1,100.0,100000.0,99780476.1918117,2656.3801528936433,0.0,1734414.9256526283,88.14982872332786,1,1,True
103,1.0,0.0,0.1,100.0,100000.0,99780459.45105688,1447.481447618369,0.0,3063708.4376590974,86.99506812985618,1,1,True
104,5.0,0.0,0.1,100.0,100000.0,99779971.00301725,312.0678395565129,0.0,11003747.06873935,81.90978501366965,1,1,False
105,0.2,5.0,0.1,100.0,100000.0,99780481.51616806,5346.781116622406,0.0,668274.2266350711,88.84923473452517,1,1,True
106,0.5,5.0,0.1,100.0,100000.0,99780476.19871704,2657.676453950062,0.0,1315139.502019803,88.53321762435314,1,1,True
107,1.0,5.0,0.1,100.0,100000.0,99780459.45795253,1447.690149145747,0.0,2345204.0275253546,87.62421069231368,1,1,True
108,5.0,5.0,0.1,100.0,100000.0,99779971.00983499,312.0699163207969,0.0,8864773.538689392,83.11240629745186,1,1,False
109,0.2,15.0,0.1,100.0,100000.0,99780481.52999054,5367.9858998717045,0.0,447860.4080332739,88.84900935145612,1,1,True
110,0.5,15.0,0.1,100.0,100000.0,99780476.2125278,2660.2737716660213,0.0,886270.4340926203,88.90800405613254,1,1,True
111,1.0,15.0,0.1,100.0,100000.0,99780459.47174376,1448.1077750163702,0.0,1595679.4631108749,88.3186246334028,1,1,True
112,5.0,15.0,0.1,100.0,100000.0,99779971.0234704,312.07406995162484,0.0,6400149.515066035,84.58108695040079,1,1,False
113,0.2,35.0,0.1,100.0,100000.0,99780481.55763538,5410.540318572747,0.0,269885.88423778967,88.58043271582892,1,1,True
114,0.5,35.0,0.1,100.0,100000.0,99780476.24014935,2665.4873213111946,0.0,536263.327125736,89.15138628966542,1,1,True
115,1.0,35.0,0.1,100.0,100000.0,99780459.49932638,1448.9439187219964,0.0,972772.3239628577,88.9052146411936,1,1,True
116,5.0,35.0,0.1,100.0,100000.0,99779971.05074131,312.08237762233523,0.0,4123862.1693748273,86.15435604773319,1,1,False
117,0.2,85.0,0.1,100.0,100000.0,99780481.62674744,5520.111115812834,0.0,135470.07711766096,87.60037133178565,1,1,True
118,0.5,85.0,0.1,100.0,100000.0,99780476.30920307,2678.632215411835,0.0,269844.7482202053,89.14004424274356,1,1,True
119,1.0,85.0,0.1,100.0,100000.0,99780459.5682828,1451.039490440266,0.0,492091.0465260123,89.30954129505602,1,1,True
120,5.0,85.0,0.1,100.0,100000.0,99779971.11891845,312.1031491854624,0.0,2183007.08788667,87.79869764936313,1,1,False
121,0.2,0.0,0.3,100.0,100000.0,99780478.35821089,3189.7175829684006,0.0,1456032.4765029028,88.38470161768998,1,1,True
122,0.5,0.0,0.3,100.0,100000.0,99780470.6772612,1991.0511213086543,0.0,2278583.472373785,87.67166365893866,1,1,True
123,1.0,0.0,0.3,100.0,100000.0,99780449.99733643,1224.6238042957966,0.0,3567247.923825031,86.58262018252213,1,1,True
124,5.0,0.0,0.3,100.0,100000.0,99779930.03653379,300.293750690174,0.0,11313314.836100126,81.73625377810345,1,1,False
125,0.2,5.0,0.3,100.0,100000.0,99780478.36511827,3191.9603222156356,0.0,1101925.8838357192,88.69707128468701,1,1,True
126,0.5,5.0,0.3,100.0,100000.0,99780470.68416268,1991.5999472128215,0.0,1734369.581035974,88.17086908999528,1,1,True
127,1.0,5.0,0.3,100.0,100000.0,99780450.00422822,1224.75120085338,0.0,2740799.9137395876,87.27694834640357,1,1,True
128,5.0,5.0,0.3,100.0,100000.0,99779930.04334758,300.29560717683125,0.0,9130515.225676358,82.96036868883641,1,1,False
129,0.2,15.0,0.3,100.0,100000.0,99780478.37893291,3196.457527928289,0.0,741150.0757973607,88.98133654077418,1,1,True
130,0.5,15.0,0.3,100.0,100000.0,99780470.69796562,1992.698739122301,0.0,1173209.5512034353,88.692386615727,1,1,True
131,1.0,15.0,0.3,100.0,100000.0,99780450.01801172,1225.0060936188013,0.0,1871908.5696744532,88.06565134903343,1,1,True
132,5.0,15.0,0.3,100.0,100000.0,99779930.05697525,300.29932023561685,0.0,6606364.802054599,84.45144643784255,1,1,False
133,0.2,35.0,0.3,100.0,100000.0,99780478.40656215,3205.499031255133,0.0,447837.000444905,89.11777550113806,1,1,True
134,0.5,35.0,0.3,100.0,100000.0,99780470.72557157,1994.900890815674,0.0,712023.4740223567,89.09532843700879,1,1,True
135,1.0,35.0,0.3,100.0,100000.0,99780450.0455787,1225.5162779945733,0.0,1144669.338483965,88.75581975238987,1,1,True
136,5.0,35.0,0.3,100.0,100000.0,99779930.08423053,300.306746695085,0.0,4266316.572268088,86.04611603787714,1,1,False
137,0.2,85.0,0.3,100.0,100000.0,99780478.47563535,3228.3799119458486,0.0,225130.55594686384,88.93859154924547,1,1,True
138,0.5,85.0,0.3,100.0,100000.0,99780470.79458639,2000.3732916030783,0.0,359030.9938511441,89.29551425496919,1,1,True
139,1.0,85.0,0.3,100.0,100000.0,99780450.11449622,1226.7940687795788,0.0,580344.750164542,89.26731840966187,1,1,True
140,5.0,85.0,0.3,100.0,100000.0,99779930.15236871,300.3253148383115,0.0,2263534.655438043,87.72425254781047,1,1,False
141,0.2,0.0,1.0,100.0,100000.0,99780454.92115495,1326.740794092047,0.0,3317280.1131359246,86.78507398346056,1,1,True
142,0.5,0.0,1.0,100.0,100000.0,99780438.96795021,1061.247010794316,0.0,4055864.9089293582,86.2006495462062,1,1,True
143,1.0,0.0,1.0,100.0,100000.0,99780404.50095761,795.8721452159707,0.0,5217365.876536565,85.36055272852786,1,1,False
144,5.0,0.0,1.0,100.0,100000.0,99779774.24609563,265.25767297259523,0.0,12347236.825505989,81.15726912310703,1,1,False
145,0.2,5.0,1.0,100.0,100000.0,99780454.92804869,1326.9018579664566,0.0,2544258.3648858406,87.44826375558398,1,1,True
146,0.5,5.0,1.0,100.0,100000.0,99780438.97483812,1061.3296646531683,0.0,3127253.5256011877,86.94773970922074,1,1,True
147,1.0,5.0,1.0,100.0,100000.0,99780404.50783575,795.9067632423803,0.0,4055303.694255427,86.20394758940353,1,1,False
148,5.0,5.0,1.0,100.0,100000.0,99779774.25289579,265.25894423902076,0.0,10027756.905492736,82.45070151067324,1,1,False
149,0.2,15.0,1.0,100.0,100000.0,99780454.94183603,1327.2241311602943,0.0,1734280.0238170393,88.19191240230447,1,1,True
150,0.5,15.0,1.0,100.0,100000.0,99780438.98861378,1061.4950205420753,0.0,2143839.1356338784,87.81718772315509,1,1,True
151,1.0,15.0,1.0,100.0,100000.0,99780404.52159199,795.9760104349308,0.0,2805440.2281199046,87.22840769217265,1,1,False
152,5.0,15.0,1.0,100.0,100000.0,99779774.26649614,265.2614868167985,0.0,7309760.511305722,84.01897472868319,1,1,False
153,0.2,35.0,1.0,100.0,100000.0,99780454.96941085,1327.8692597223132,0.0,1058946.1363465309,88.83158353709075,1,1,True
154,0.5,35.0,1.0,100.0,100000.0,99780439.01616523,1061.8259250909582,0.0,1315020.6478135528,88.60050551851657,1,1,True
155,1.0,35.0,1.0,100.0,100000.0,99780404.54910444,796.1145493894664,0.0,1734101.8774090202,88.20875443905129,1,1,False
156,5.0,35.0,1.0,100.0,100000.0,99779774.2936968,265.2665721520659,0.0,4756250.938907877,85.68446991978692,1,1,False
157,0.2,85.0,1.0,100.0,100000.0,99780455.03834778,1329.485482394585,0.0,536245.2677457589,89.29139992951315,1,1,True
158,0.5,85.0,1.0,100.0,100000.0,99780439.08504383,1062.6543121104985,0.0,668212.7528728442,89.20772841428118,1,1,True
159,1.0,85.0,1.0,100.0,100000.0,99780404.61788572,796.4611569042689,0.0,886183.150090184,89.025670932607,1,1,False
160,5.0,85.0,1.0,100.0,100000.0,99779774.36169848,265.2792865386146,0.0,2542008.6109733386,87.47080977355262,1,1,False
161,0.2,0.0,0.0,500.00000000000006,100000.0,99780482.49327002,8063.50512081375,0.0,590511.7501480447,87.7516473010773,1,1,True
162,0.5,0.0,0.0,500.00000000000006,100000.0,99780478.35757789,3189.7036656583846,0.0,1419638.4565344441,87.44076065876959,1,1,True
163,1.0,0.0,0.0,500.00000000000006,100000.0,99780463.58640972,1592.351354372786,0.0,2707631.1528633717,87.03821863369706,1,1,True
164,5.0,0.0,0.0,500.00000000000006,100000.0,99779990.89478435,318.3110674082151,0.0,10674072.171044217,83.09923202963944,1,1,False
165,0.2,5.0,0.0,500.00000000000006,100000.0,99780482.50018321,8099.6344634563575,0.0,445810.2412694028,87.80246880637094,1,1,True
166,0.5,5.0,0.0,500.00000000000006,100000.0,99780478.36448517,3191.9465959949807,0.0,1081294.40381011,87.65810278715009,1,1,True
167,1.0,5.0,0.0,500.00000000000006,100000.0,99780463.59330733,1592.6297202847422,0.0,2074764.2149846647,87.23742147148118,1,1,True
168,5.0,5.0,0.0,500.00000000000006,100000.0,99779990.90160407,318.3132684783698,0.0,8550561.19564215,84.29602223349451,1,1,False
169,0.2,15.0,0.0,500.00000000000006,100000.0,99780482.51400954,8172.5493187613265,0.0,299067.3081623001,87.65100082709864,1,1,True
170,0.5,15.0,0.0,500.00000000000006,100000.0,99780478.37829988,3196.444188787934,0.0,733103.1084926098,88.01772020107336,1,1,True
171,1.0,15.0,0.0,500.00000000000006,100000.0,99780463.60710253,1593.1868135926147,0.0,1419563.0438683596,87.50285556274338,1,1,True
172,5.0,15.0,0.0,500.00000000000006,100000.0,99779990.91524342,318.3176707309905,0.0,6121283.22636718,85.59104439637451,1,1,False
173,0.2,35.0,0.0,500.00000000000006,100000.0,99780482.54166222,8322.25778909502,0.0,180322.19711515587,86.95886219437165,1,1,True
174,0.5,35.0,0.0,500.00000000000006,100000.0,99780478.40592924,3205.4864861735655,0.0,445747.1865684473,88.41000446380633,1,1,True
175,1.0,35.0,0.0,500.00000000000006,100000.0,99780463.63469297,1594.30244754536,0.0,873668.2403171277,87.95533023766262,1,1,True
176,5.0,35.0,0.0,500.00000000000006,100000.0,99779990.94252218,318.3264756854892,0.0,3912410.5572497393,86.61729665171265,1,1,False
177,0.2,85.0,0.0,500.00000000000006,100000.0,99780482.61079389,8715.826067138993,1.2048693098019823e-10,90680.94929955284,84.72175592159613,1,1,True
178,0.5,85.0,0.0,500.00000000000006,100000.0,99780478.47500254,3228.3694720597055,0.0,224851.35876689816,88.54972484345609,1,1,True
179,1.0,85.0,0.0,500.00000000000006,100000.0,99780463.70366894,1597.0999938704965,0.0,445731.3050269707,88.61256389878406,1,1,True
180,5.0,85.0,0.0,500.00000000000006,100000.0,99779991.01071896,318.34849069262356,0.0,2073562.3517042142,87.27018395882419,1,1,False
181,0.2,0.0,0.1,500.00000000000006,100000.0,99780481.50862357,5336.192069336189,0.0,873722.5646936983,87.71659229024095,1,1,True
182,0.5,0.0,0.1,500.00000000000006,100000.0,99780476.19117884,2656.3720850997365,0.0,1684776.82409593,87.34274711751391,1,1,True
183,1.0,0.0,0.1,500.00000000000006,100000.0,99780459.45042484,1447.4801624061254,0.0,2955106.748570051,86.95981016335327,1,1,True
184,5.0,0.0,0.1,500.00000000000006,100000.0,99779971.00239159,312.06782889384283,0.0,10832119.449545354,83.00796705404395,1,1,False
185,0.2,5.0,0.1,500.00000000000006,100000.0,99780481.51553479,5346.718665613087,0.0,662040.140059369,87.92957995533709,1,1,True
186,0.5,5.0,0.1,500.00000000000006,100000.0,99780476.19808422,2657.6684808000928,0.0,1285270.1177516396,87.53795796342001,1,1,True
187,1.0,5.0,0.1,500.00000000000006,100000.0,99780459.45732047,1447.6888729115997,0.0,2266762.691517317,87.17988877058201,1,1,True
188,5.0,5.0,0.1,500.00000000000006,100000.0,99779971.00920933,312.0699056819765,0.0,8685439.240981346,84.22107722476358,1,1,False
189,0.2,15.0,0.1,500.00000000000006,100000.0,99780481.52935717,5367.926267970568,0.0,445770.02273117116,88.13995249993218,1,1,True
190,0.5,15.0,0.1,500.00000000000006,100000.0,99780476.211895,2660.2659894513645,0.0,873693.5624168839,87.88711657407413,1,1,True
191,1.0,15.0,0.1,500.00000000000006,100000.0,99780459.47111176,1448.1065167824518,0.0,1552620.7679490277,87.44037349736311,1,1,True
192,5.0,15.0,0.1,500.00000000000006,100000.0,99779971.02284476,312.0740593605099,0.0,6224933.928959374,85.53816234617534,1,1,False
193,0.2,35.0,0.1,500.00000000000006,100000.0,99780481.5570021,5410.487396610827,0.0,269403.2008479721,88.11933089154417,1,1,True
194,0.5,35.0,0.1,500.00000000000006,100000.0,99780476.23951654,2665.479927624451,0.0,532840.7019548616,88.3462179643675,1,1,True
195,1.0,35.0,0.1,500.00000000000006,100000.0,99780459.49869438,1448.9426966652527,0.0,957132.6437429052,87.8695735886867,1,1,True
196,5.0,35.0,0.1,500.00000000000006,100000.0,99779971.05011572,312.08236712664973,0.0,3982240.6288364767,86.58869893800755,1,1,False
197,0.2,85.0,0.1,500.00000000000006,100000.0,99780481.62611438,5520.0764985535,0.0,135410.9300704786,87.36235493291474,1,1,True
198,0.5,85.0,0.1,500.00000000000006,100000.0,99780476.30857046,2678.625832793667,0.0,269362.0823709819,88.68000004726866,1,1,True
199,1.0,85.0,0.1,500.00000000000006,100000.0,99780459.56765094,1451.038359864251,0.0,489356.27784839366,88.55181968957334,1,1,True
200,5.0,85.0,0.1,500.00000000000006,100000.0,99779971.11829303,312.1031389284611,0.0,2112059.8559617833,87.25720217004846,1,1,False
201,0.2,0.0,0.3,500.00000000000006,100000.0,99780478.35757789,3189.7036656583846,0.0,1419638.4565344441,87.44076065876959,1,1,True
202,0.5,0.0,0.3,500.00000000000006,100000.0,99780470.67662862,1991.0477097039472,0.0,2203051.2186195203,87.18671771017813,1,1,True
203,1.0,0.0,0.3,500.00000000000006,100000.0,99780449.99670476,1224.623026158295,0.0,3441437.3816840965,86.7913312661808,1,1,True
204,5.0,0.0,0.3,500.00000000000006,100000.0,99779930.03590846,300.29374125004523,0.0,11142669.802316563,82.82856456377897,1,1,False
205,0.2,5.0,0.3,500.00000000000006,100000.0,99780478.36448517,3191.9465959949807,0.0,1081294.40381011,87.65810278715009,1,1,True
206,0.5,5.0,0.3,500.00000000000006,100000.0,99780470.68353014,1991.5965668363885,0.0,1684735.7666407702,87.36438764289704,1,1,True
207,1.0,5.0,0.3,500.00000000000006,100000.0,99780450.0035965,1224.750427442033,0.0,2645091.131959585,87.06547243456214,1,1,True
